actions,categories,open_issues,pull_requests,stars,category
skedulo/ansible-inventory-diff,['code-review'],0,0.0,2.0,['code-review']
alberthernandez/assign-me,['code-review'],0,15.0,3.0,['code-review']
rbarbazz/on-approve,['code-review'],0,0.0,1.0,['code-review']
ianatha/action-screenshot-diff,"['code-review', 'utilities']",0,0.0,3.0,"['code-review', 'utilities']"
vweevers/hallmark-lint-action,['code-review'],0,0.0,2.0,['code-review']
loadbalancerorg/polaris-action,"['security', 'code-review']",0,0.0,1.0,"['security', 'code-review']"
kiliczsh/codebase-scanner,"['code-review', 'code-search']",0,0.0,1.0,"['code-review', 'code-search']"
bala-raj/pull-request-changelog,"['code-review', 'reporting']",3,,4.0,"['code-review', 'reporting']"
itsoliverbott/assign-pr-author-as-assignee,['code-review'],0,0.0,1.0,['code-review']
aidasoft/pr-sweeper,"['code-review', 'utilities']",2,0.0,1.0,"['code-review', 'utilities']"
chiaretto/github-action-list-artifacts-pr,"['project-management', 'code-review']",0,0.0,1.0,"['project-management', 'code-review']"
walbo/validate-json,"['code-review', 'testing']",1,6.0,5.0,"['code-review', 'testing']"
leynier/pr-compliance-action,"['code-review', 'open-source-management']",0,,1.0,"['code-review', 'open-source-management']"
gatoreducator/gatorgrade-action,"['code-review', 'learning']",1,0.0,2.0,"['code-review', 'learning']"
opt-nc/yamlfixer-action,"['code-review', 'utilities']",2,0.0,2.0,"['code-review', 'utilities']"
ncino/powermode-scan,"['security', 'code-review']",0,0.0,1.0,"['security', 'code-review']"
boyum/comment-h5p-library-version-action,"['code-review', 'utilities']",0,0.0,1.0,"['code-review', 'utilities']"
ntsd/auto-request-changes-action,"['continuous-integration', 'code-review']",0,0.0,2.0,"['continuous-integration', 'code-review']"
kadaradam/notion-pr-link,"['project-management', 'code-review']",0,0.0,2.0,"['project-management', 'code-review']"
keitap/github-asana-request-review-action,"['project-management', 'code-review']",2,0.0,2.0,"['project-management', 'code-review']"
mondeja/remove-labels-gh-action,"['project-management', 'code-review']",0,0.0,3.0,"['project-management', 'code-review']"
daint2git/pull-request-slack-notifier,"['code-review', 'monitoring']",0,11.0,1.0,"['code-review', 'monitoring']"
yutailang0119/action-github-pr-release,"['deployment', 'code-review']",2,7.0,2.0,"['deployment', 'code-review']"
upsync-dev/sbt-dependency-updates-action,"['code-review', 'code-scanning-ready']",0,0.0,1.0,"['code-review', 'code-scanning-ready']"
bidaya0/sql-lint-in-action,"['code-review', 'testing']",0,1.0,1.0,"['code-review', 'testing']"
sudeepsidhu/diff-stats-action,['code-review'],0,0.0,1.0,['code-review']
tim-actions/get-pr-commits,"['code-review', 'utilities']",2,2.0,4.0,"['code-review', 'utilities']"
kyagi/shamshir,"['continuous-integration', 'code-review']",5,0.0,1.0,"['continuous-integration', 'code-review']"
riversafeuk/eze-docker-action,"['security', 'code-review']",0,,2.0,"['security', 'code-review']"
rudderlabs/github-notion-sync,"['code-review', 'reporting']",0,0.0,6.0,"['code-review', 'reporting']"
morishiri/block-merge-commits-action,"['continuous-integration', 'code-review']",0,1.0,1.0,"['continuous-integration', 'code-review']"
bmc-compuware/ispw-generate,"['continuous-integration', 'code-review']",0,0.0,2.0,"['continuous-integration', 'code-review']"
longoddcode/assign-reviewer,"['continuous-integration', 'code-review']",0,0.0,1.0,"['continuous-integration', 'code-review']"
cmpsoares/label-based-pr-policy-action,"['code-review', 'utilities']",2,10.0,1.0,"['code-review', 'utilities']"
blockception/action-minecraft-bedrock-diagnose,"['code-review', 'testing']",0,0.0,4.0,"['code-review', 'testing']"
tarides/changelog-check-action,['code-review'],1,0.0,5.0,['code-review']
autumnwhj/sync-branches-action,"['continuous-integration', 'code-review']",0,8.0,2.0,"['continuous-integration', 'code-review']"
ygnoh/actions-request-pr-review,"['code-review', 'support']",0,0.0,1.0,"['code-review', 'support']"
raviraipuria/convert-to-draft,"['project-management', 'code-review']",0,6.0,2.0,"['project-management', 'code-review']"
roms1383/emissary,"['code-review', 'community']",3,7.0,1.0,"['code-review', 'community']"
explorium-ai/wait-github-status-action,"['continuous-integration', 'code-review']",0,0.0,1.0,"['continuous-integration', 'code-review']"
matheus23/md-spellcheck-action,"['code-review', 'utilities']",3,8.0,2.0,"['code-review', 'utilities']"
joshjohanning/azdo_commit_message_validator,"['project-management', 'code-review']",0,6.0,2.0,"['project-management', 'code-review']"
wolframresearch/build-paclet,"['continuous-integration', 'code-review']",0,0.0,2.0,"['continuous-integration', 'code-review']"
maheshrayas/action-pr-comment-delete,"['continuous-integration', 'code-review']",1,0.0,3.0,"['continuous-integration', 'code-review']"
reviversmc/the-mod-index-validation,"['project-management', 'code-review']",0,1.0,1.0,"['project-management', 'code-review']"
snow-actions/unanimously-approved,"['continuous-integration', 'code-review']",3,6.0,1.0,"['continuous-integration', 'code-review']"
catchen/check-git-status-action,"['code-review', 'utilities']",0,0.0,2.0,"['code-review', 'utilities']"
satvik-s/pr-label-check,"['code-review', 'utilities']",0,7.0,1.0,"['code-review', 'utilities']"
eliblock/less-advanced-security-action,"['security', 'code-review']",7,,1.0,"['security', 'code-review']"
github-actions-tools/gh-reviews-count,"['continuous-integration', 'code-review']",1,0.0,1.0,"['continuous-integration', 'code-review']"
dlavrenuek/add-commit-labels,"['continuous-integration', 'code-review']",1,0.0,3.0,"['continuous-integration', 'code-review']"
apache/yetus-test-patch-action,['code-review'],0,,0.0,['code-review']
grantbirki/auditor-action,"['continuous-integration', 'code-review']",0,0.0,1.0,"['continuous-integration', 'code-review']"
lentryd/vdocs,"['code-review', 'publishing']",1,2.0,2.0,"['code-review', 'publishing']"
sly777/pr_title_jira_linker,"['project-management', 'code-review']",0,9.0,1.0,"['project-management', 'code-review']"
ardiannn08/resolve-outdated-comment,"['code-review', 'support']",0,0.0,2.0,"['code-review', 'support']"
enriquesoria/annotate_pr_with_ruff,['code-review'],2,0.0,1.0,['code-review']
minhchienwikipedia/get-pr-info,"['code-review', 'utilities']",0,0.0,1.0,"['code-review', 'utilities']"
sammcj/rewritable-pr-comment,"['code-review', 'utilities']",2,4.0,1.0,"['code-review', 'utilities']"
simonkowallik/irulescan-action,"['security', 'code-review']",0,0.0,1.0,"['security', 'code-review']"
morficus/gh-pr-label-jira,"['project-management', 'code-review']",0,0.0,1.0,"['project-management', 'code-review']"
jyotishka7139/slack-test-report,"['code-review', 'testing']",0,0.0,1.0,"['code-review', 'testing']"
ctriolo/action-find-or-create-linear-issue,"['project-management', 'code-review']",0,4.0,1.0,"['project-management', 'code-review']"
jgillick/test-coverage-reporter,"['code-review', 'testing']",0,0.0,1.0,"['code-review', 'testing']"
mihinduranasinghe/open-issue-reusable,"['code-review', 'reporting']",0,16.0,0.0,"['code-review', 'reporting']"
devlinjunker/action-remove-labels,"['code-review', 'testing']",0,,1.0,"['code-review', 'testing']"
sreimers/pr-dependency-action,"['code-review', 'dependency-management']",1,0.0,0.0,"['code-review', 'dependency-management']"
gupy-io/gittyleaks-action,"['security', 'code-review']",0,1.0,0.0,"['security', 'code-review']"
friendsofgo/pr-size-labeler,"['code-review', 'utilities']",0,2.0,3.0,"['code-review', 'utilities']"
dmikov/github-action-codeowners-last,"['project-management', 'code-review']",0,5.0,3.0,"['project-management', 'code-review']"
a-b-r-o-w-n/add-pr-owner-action,"['code-review', 'open-source-management']",0,0.0,0.0,"['code-review', 'open-source-management']"
ryanvade/enforce-pr-description-length-action,"['code-review', 'open-source-management']",0,0.0,0.0,"['code-review', 'open-source-management']"
nrccua-walter-manger/pr-label-by-base,['code-review'],0,10.0,0.0,['code-review']
ryanvade/enforce-active-pr-assigned-action,"['code-review', 'open-source-management']",0,0.0,0.0,"['code-review', 'open-source-management']"
ryanvade/enforce-active-pr-labeled-action,"['code-review', 'open-source-management']",0,0.0,0.0,"['code-review', 'open-source-management']"
tophat/commit-watch-action,"['code-review', 'utilities']",1,0.0,0.0,"['code-review', 'utilities']"
nbaztec/add-pr-review-comment,"['continuous-integration', 'code-review']",0,0.0,0.0,"['continuous-integration', 'code-review']"
myztiq/github-assign,['code-review'],0,0.0,0.0,['code-review']
chiefus/secret_serfer,"['code-review', 'code-search']",0,0.0,0.0,"['code-review', 'code-search']"
ajai-jayakumar/pr-sentry-id-lint,"['deployment', 'code-review']",0,5.0,0.0,"['deployment', 'code-review']"
jsoares/gh-pr-content-checker,['code-review'],0,,3.0,['code-review']
manuelmeister/require-approved-pull-request-action,"['code-review', 'utilities']",0,4.0,0.0,"['code-review', 'utilities']"
estherk0/helm-image-validator,"['code-review', 'utilities']",0,0.0,0.0,"['code-review', 'utilities']"
civicactions/action-remark-lint-docs,['code-review'],1,,0.0,['code-review']
erskaggs/slack-pr-notify,['code-review'],0,0.0,0.0,['code-review']
rihurla/simplelabeler,"['code-review', 'utilities']",0,0.0,1.0,"['code-review', 'utilities']"
chabroa/action-append-pr-description,"['deployment', 'code-review']",1,0.0,2.0,"['deployment', 'code-review']"
7474/src-datalinter,['code-review'],0,0.0,0.0,['code-review']
thepbone/xamltranslationvalidator,"['code-review', 'localization']",0,0.0,0.0,"['code-review', 'localization']"
ivankuchin/sast,"['security', 'code-review']",0,0.0,0.0,"['security', 'code-review']"
smartsquaregmbh/post-k8s-lb,"['deployment', 'code-review']",0,0.0,0.0,"['deployment', 'code-review']"
duynhanf/cypress-report-action,['code-review'],0,,0.0,['code-review']
coverwallet/pr-labeler,"['code-review', 'utilities']",0,4.0,0.0,"['code-review', 'utilities']"
experfy/sonarqube,['code-review'],0,6.0,0.0,['code-review']
delsinvg/check-page-title-and-description-action,['code-review'],0,0.0,1.0,['code-review']
ganeshspatil/hello-world-javascript-action,"['continuous-integration', 'code-review']",0,2.0,0.0,"['continuous-integration', 'code-review']"
gimmyxd/check-ahead-action,['code-review'],0,0.0,0.0,['code-review']
fountainhead/action-pr-label-assistant,"['project-management', 'code-review']",0,12.0,0.0,"['project-management', 'code-review']"
crazymanish/pullrequest-attention-label-action,"['code-review', 'dependency-management']",0,0.0,1.0,"['code-review', 'dependency-management']"
brunomoutinho/cfn_nag_action,"['security', 'code-review']",0,0.0,0.0,"['security', 'code-review']"
asasinnab/pr-body-action,"['code-review', 'utilities']",0,3.0,1.0,"['code-review', 'utilities']"
wyozi/regex-tester-action,"['code-review', 'testing']",0,3.0,0.0,"['code-review', 'testing']"
automodality/action-rosdoc,"['code-review', 'reporting']",0,0.0,0.0,"['code-review', 'reporting']"
pratapaditya1997/commentator,['code-review'],0,3.0,0.0,['code-review']
jonyhy96/lgtm-action,['code-review'],0,0.0,1.0,['code-review']
moneyforward/stylelint-action,['code-review'],0,8.0,0.0,['code-review']
moneyforward/coffeelint-action,['code-review'],0,8.0,1.0,['code-review']
tim-actions/commit-body-check,"['continuous-integration', 'code-review']",0,1.0,0.0,"['continuous-integration', 'code-review']"
